,id,type,name,age,gender,city,breed,city,zip,large_photo,state,species,status,url
360,59310338,Dog,John,Adult,Male,Granite City,Labrador Retriever,Granite City,62040,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310338/2/?bust=1672511785&width=600,IL,Dog,adoptable,https://www.petfinder.com/dog/john-59310338/il/granite-city/granite-city-animal-control-and-adoption-il1010/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
361,59310406,Dog,Leilani ,Adult,Female,Los Angeles,Shiba Inu,Los Angeles,90014,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310406/1/?bust=1672512202&width=600,CA,Dog,adoptable,https://www.petfinder.com/dog/leilani-59310406/ca/los-angeles/kosmas-garden-of-angeles-inc-ca2770/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
362,59310402,Dog,Hudson,Young,Male,Freeport,Husky,Freeport,11520,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310402/4/?bust=1672512144&width=600,NY,Dog,adoptable,https://www.petfinder.com/dog/hudson-59310402/ny/freeport/bobbi-and-the-strays-ny27/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
363,59310400,Dog,Jasper,Young,Male,Chesapeake Beach,Beagle,Chesapeake Beach,20732,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310400/3/?bust=1672512137&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/jasper-59310400/md/chesapeake-beach/3-acres-rescue-md524/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
364,59310399,Cat,Mango and Muffin,Baby,Male,Ponte Vedra Beach,Domestic Short Hair,Ponte Vedra Beach,32082,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310399/1/?bust=1672512130&width=600,FL,Cat,adoptable,https://www.petfinder.com/cat/mango-and-muffin-59310399/fl/ponte-vedra-beach/love-me-true-rescue-inc-fl1573/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
365,59310396,Dog,Kobe Yashi,Adult,Male,Friendswood,American Staffordshire Terrier,Friendswood,77546,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310396/6/?bust=1673559484&width=600,TX,Dog,adoptable,https://www.petfinder.com/dog/kobe-yashi-59310396/tx/friendswood/three-little-pitties-rescue-tx2269/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
366,59310392,Dog,Muffin,Senior,Female,Hollywood,Pomeranian,Hollywood,20636,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310392/1/?bust=1673378453&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/muffin-59310392/md/hollywood/animal-relief-fund-md84/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
367,59310393,Dog,Mocha,Senior,Male,Hollywood,Pomeranian,Hollywood,20636,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310393/1/?bust=1673378445&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/mocha-59310393/md/hollywood/animal-relief-fund-md84/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
368,59310390,Dog,Yoda,Young,Male,Hollywood,Yorkshire Terrier,Hollywood,20636,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310390/2/?bust=1673378480&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/yoda-59310390/md/hollywood/animal-relief-fund-md84/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
369,59310378,Dog,Brody,Baby,Male,Scottsboro,Collie,Scottsboro,35769,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310378/4/?bust=1673291843&width=600,AL,Dog,adoptable,https://www.petfinder.com/dog/brody-59310378/al/scottsboro/safe-haven-no-kill-pet-rescue-al193/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
370,59310376,Dog,Tia,Young,Female,Brentwood,Miniature Pinscher,Brentwood,37024,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310376/5/?bust=1672857101&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/tia-59310376/tn/brentwood/spca-of-tennessee-tn385/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
371,59310371,Dog,Gertie,Adult,Female,Ashtabula,Mixed Breed,Ashtabula,44004,,OH,Dog,adoptable,https://www.petfinder.com/dog/gertie-59310371/oh/ashtabula/ashtabula-county-animal-protective-league-oh71/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
372,59310373,Cat,Veronicat,Adult,Female,Ashtabula,Domestic Short Hair,Ashtabula,44004,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310373/1/?bust=1673161112&width=600,OH,Cat,adoptable,https://www.petfinder.com/cat/veronicat-59310373/oh/ashtabula/ashtabula-county-animal-protective-league-oh71/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
